simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
哲学,zhéxué,philosophy,triết học,noun,6,哲学思想。,Tư tưởng triết học.
美学,měixué,aesthetics,mỹ học,noun,6,美学理论。,Lý thuyết mỹ học.
伦理,lúnlǐ,ethics,luân lý,noun,6,伦理道德。,Đạo đức luân lý.
逻辑,luóji,logic,logic,noun,6,逻辑思维。,Tư duy logic.
辩证,biànzhèng,dialectical,biện chứng,adjective,6,辩证关系。,Quan hệ biện chứng.
范畴,fànchóu,category,phạm trù,noun,6,基本范畴。,Phạm trù cơ bản.
本质,běnzhì,essence,bản chất,noun,6,本质问题。,Vấn đề bản chất.
现象,xiànxiàng,phenomenon,hiện tượng,noun,6,社会现象。,Hiện tượng xã hội.
矛盾,máodùn,contradiction,mâu thuẫn,noun,6,主要矛盾。,Mâu thuẫn chủ yếu.
统一,tǒngyī,unity,thống nhất,verb,6,统一认识。,Thống nhất nhận thức.
对立,duìlì,opposition,đối lập,noun,6,对立统一。,Thống nhất đối lập.
转化,zhuǎnhuà,transformation,chuyển hóa,verb,6,能量转化。,Chuyển hóa năng lượng.
演变,yǎnbiàn,evolution,diễn biến,verb,6,历史演变。,Diễn biến lịch sử.
变革,biàngé,reform,biến cách,verb,6,社会变革。,Biến cách xã hội.
创新,chuàngxīn,innovation,sáng tạo,verb,6,技术创新。,Sáng tạo kỹ thuật.
发明,fāmíng,invention,phát minh,verb,6,发明创造。,Phát minh sáng tạo.
突破,tūpò,breakthrough,đột phá,verb,6,技术突破。,Đột phá kỹ thuật.
飞跃,fēiyuè,leap,nhảy vọt,verb,6,飞跃发展。,Phát triển nhảy vọt.
跨越,kuàyuè,to stride across,vượt qua,verb,6,跨越发展。,Phát triển vượt bậc.
领先,lǐngxiān,to lead,dẫn đầu,verb,6,技术领先。,Dẫn đầu kỹ thuật.
占据,zhànjù,to occupy,chiếm giữ,verb,6,占据优势。,Chiếm giữ ưu thế.
垄断,lǒngduàn,monopoly,độc quyền,verb,6,市场垄断。,Độc quyền thị trường.
竞争,jìngzhēng,competition,cạnh tranh,noun,6,自由竞争。,Cạnh tranh tự do.
制裁,zhìcái,sanctions,chế tài,noun,6,经济制裁。,Chế tài kinh tế.
干预,gānyù,intervention,can thiệp,verb,6,政府干预。,Can thiệp của chính phủ.
调节,tiáojié,regulation,điều tiết,verb,6,市场调节。,Điều tiết thị trường.
均衡,jūnhéng,balance,cân bằng,adjective,6,均衡发展。,Phát triển cân bằng.
协调,xiétiáo,coordination,phối hợp,verb,6,协调发展。,Phối hợp phát triển.
统筹,tǒngchóu,overall planning,hoạch định tổng thể,verb,6,统筹安排。,Sắp xếp tổng thể.
布局,bùjú,layout,bố cục,noun,6,战略布局。,Bố cục chiến lược.
格局,géjú,pattern/configuration,cách cục,noun,6,世界格局。,Cách cục thế giới.
体制,tǐzhì,system,thể chế,noun,6,经济体制。,Thể chế kinh tế.
机制,jīzhì,mechanism,cơ chế,noun,6,运行机制。,Cơ chế vận hành.
法规,fǎguī,regulations,pháp quy,noun,6,法律法规。,Pháp luật quy định.
条例,tiáolì,regulations,điều lệ,noun,6,管理条例。,Điều lệ quản lý.
章程,zhāngchéng,charter,điều lệ,noun,6,公司章程。,Điều lệ công ty.
细则,xìzé,detailed rules,quy tắc chi tiết,noun,6,实施细则。,Quy tắc thực hiện chi tiết.
权限,quánxiàn,authority,quyền hạn,noun,6,管理权限。,Quyền hạn quản lý.
监督,jiāndū,supervision,giám sát,verb,6,监督执行。,Giám sát thực hiện.
审查,shěnchá,examination,thẩm tra,verb,6,审查结果。,Kết quả thẩm tra.
鉴定,jiàndìng,appraisal,giám định,verb,6,质量鉴定。,Giám định chất lượng.
评估,pínggū,assessment,đánh giá,verb,6,风险评估。,Đánh giá rủi ro.
反馈,fǎnkuì,feedback,phản hồi,noun,6,用户反馈。,Phản hồi người dùng.
投诉,tóusù,complaint,khiếu nại,verb,6,投诉处理。,Xử lý khiếu nại.
纠纷,jiūfēn,dispute,tranh chấp,noun,6,劳动纠纷。,Tranh chấp lao động.
诉讼,sùsòng,litigation,kiện tụng,noun,6,提起诉讼。,Đệ đơn kiện.
仲裁,zhòngcái,arbitration,trọng tài,noun,6,仲裁结果。,Kết quả trọng tài.
调解,tiáojiě,mediation,hòa giải,verb,6,调解纠纷。,Hòa giải tranh chấp.
妥协,tuǒxié,compromise,thỏa hiệp,verb,6,妥协方案。,Phương án thỏa hiệp.
协商,xiéshāng,consultation,hiệp thương,verb,6,协商解决。,Giải quyết bằng hiệp thương.
共识,gòngshí,consensus,đồng thuận,noun,6,达成共识。,Đạt đồng thuận.
分歧,fēnqí,difference/phân kỳ,phân kỳ,noun,6,意见分歧。,Phân kỳ ý kiến.
哀愁,āichóu,sadness,sầu não,adjective,6,心中哀愁。,Trong lòng sầu não.
癌症,áizhèng,cancer,ung thư,noun,6,癌症治疗。,Chữa bệnh ung thư.
爱戴,àidài,to love and respect,kính yêu,verb,6,深受爱戴。,Được kính yêu.
暧昧,àimèi,ambiguous,mập mờ,adjective,6,关系暧昧。,Quan hệ mờ ám.
安宁,ānníng,peaceful,bình yên,adjective,6,社会安宁。,Xã hội bình yên.
安置,ānzhì,to arrange,sắp xếp,verb,6,安置灾民。,Sắp xếp dân vùng thiên tai.
按摩,ànmó,massage,xoa bóp,verb,6,按摩治疗。,Chữa bệnh bằng xoa bóp.
案件,ànjiàn,legal case,vụ án,noun,6,刑事案件。,Vụ án hình sự.
案例,ànlì,case,án lệ,noun,6,典型案例。,Án lệ điển hình.
昂贵,ángguì,expensive,đắt đỏ,adjective,6,价格昂贵。,Giá đắt đỏ.
翱翔,áoxiáng,to soar, bay lượn, bay bổng,verb,6,翱翔天空。,Bay lượn trên trời.
傲慢,àomàn,arrogant,kiêu ngạo,adjective,6,态度傲慢。,Thái độ kiêu ngạo.
奥秘,àomì,mystery,bí ẩn,noun,6,宇宙奥秘。,Bí ẩn vũ trụ.
巴结,bājie,to fawn,nịnh bợ,verb,6,巴结领导。,Nịnh bợ lãnh đạo.
拔苗助长,bámiáozhùzhǎng,to spoil things by excessive enthusiasm,kéo cây non,idiom,6,拔苗助长不可取。,Kéo cây non là không nên.
把关,bǎguān,to check,kiểm soát,verb,6,严格把关。,Kiểm soát nghiêm ngặt.
霸权,bàquán,hegemony,bá quyền,noun,6,霸权主义。,Chủ nghĩa bá quyền.
白菜,báicài,Chinese cabbage,bắp cải,noun,6,买白菜。,Mua bắp cải.
百姓,bǎixìng,common people,dân thường,noun,6,老百姓。,Dân thường.
败坏,bàihuài,to corrupt,làm hỏng,verb,6,道德败坏。,Đạo đức hỏng.
拜访,bàifǎng,to pay a visit,thăm viếng,verb,6,拜访朋友。,Thăm viếng bạn bè.
拜年,bàinián,New Year visit,chúc tết,verb,6,给大家拜年。,Chúc mừng năm mới mọi người.
