title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Thành ngữ 4 chữ,Four-character idioms (chengyu),7,Fixed 4-character structure,https://www.youtube.com/embed/grammar_hsk7_1,百闻不如一见|学以致用,Trăm nghe không bằng một thấy|Học để áp dụng,Thành ngữ cố định
Cấu trúc 归根到底,In the final analysis,7,归根到底 + Conclusion,https://www.youtube.com/embed/grammar_hsk7_2,归根到底要自己努力,Rốt cuộc phải tự mình cố gắng,Tổng kết luận điểm
Cấu trúc 不言而喻,It goes without saying,7,不言而喻 + Fact,https://www.youtube.com/embed/grammar_hsk7_3,不言而喻健康很重要,Không nói cũng biết sức khỏe quan trọng,Hiển nhiên
Cấu trúc 大...特...,Intensified adjective,7,大 + Verb + 特 + Verb,https://www.youtube.com/embed/grammar_hsk7_4,大吵特吵|大吃特吃,Cãi nhau ầm ĩ|Ăn uống thả cửa, Nhấn mạnh hành động
Cấu trúc 非...不可,Must/Have to with 非,7,非 + Verb + 不可,https://www.youtube.com/embed/grammar_hsk7_5,非去不可|非做不可,Nhất định phải đi|Nhất định phải làm,Bắt buộc
Cấu trúc 与其...,Better to than (formal) with 与其,7,与其 + A + 毋宁 + B,https://www.youtube.com/embed/grammar_hsk7_6,与其苟且偷生毋宁英勇就义,Thà chết trong vinh quang còn hơn sống nhục,Lựa chọn trang trọng
Cấu trúc 于 (bổ ngữ),于 as complement (formal),7,Verb + 于 + Place/Time,https://www.youtube.com/embed/grammar_hsk7_7,生于北京|死于2020年,Sinh ra ở Bắc Kinh|Mất năm 2020,Trang trọng hơn 在
Cấu trúc 为...,For the sake of (formal),7,为 + Noun + 而 + Verb,https://www.youtube.com/embed/grammar_hsk7_8,为人民服务|为梦想而奋斗,Phục vụ nhân dân|Phấn đấu vì ước mơ,Mục đích trang trọng
Cấu trúc 从...出发,Starting from perspective,7,从 + Perspective + 出发,https://www.youtube.com/embed/grammar_hsk7_9,从实际情况出发,Xuất phát từ tình hình thực tế,Lập trường/quan điểm
Cấu trúc 基于...,Based on with 基于,7,基于 + Basis + Action,https://www.youtube.com/embed/grammar_hsk7_10,基于以上原因我们决定,Dựa trên các lý do trên chúng tôi quyết định,Lý do trang trọng
