simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
兴趣,xìngqù,interest,hứng thú,noun,3,我对音乐有兴趣。,Tôi có hứng thú với âm nhạc.
习惯,xíguàn,habit,thói quen,noun,3,好习惯。,Thói quen tốt.
能力,nénglì,ability,năng lực,noun,3,学习能力。,Năng lực học tập.
机会,jīhuì,opportunity,cơ hội,noun,3,好机会。,Cơ hội tốt.
关系,guānxi,relationship,quan hệ,noun,3,有关系。,Có quan hệ.
经验,jīngyàn,experience,kinh nghiệm,noun,3,有经验。,Có kinh nghiệm.
方法,fāngfǎ,method,phương pháp,noun,3,学习方法。,Phương pháp học tập.
结果,jiéguǒ,result,kết quả,noun,3,考试结果。,Kết quả thi.
原因,yuányīn,reason,nguyên nhân,noun,3,什么原因？,Nguyên nhân gì?
目的,mùdì,purpose,mục đích,noun,3,学习目的。,Mục đích học tập.
条件,tiáojiàn,condition,điều kiện,noun,3,条件很好。,Điều kiện tốt.
基础,jīchǔ,foundation,nền tảng,noun,3,基础很重要。,Nền tảng rất quan trọng.
例子,lìzì,example,ví dụ,noun,3,举个例子。,Lấy ví dụ.
部分,bùfen,part,phần,noun,3,一部分。,Một phần.
方面,fāngmiàn,aspect,phương diện,noun,3,这方面。,Phương diện này.
重点,zhòngdiǎn,key point,trọng điểm,noun,3,学习重点。,Trọng tâm học tập.
特点,tèdiǎn,characteristic,đặc điểm,noun,3,有什么特点？,Có đặc điểm gì?
优点,yōudiǎn,advantage,ưu điểm,noun,3,有很多优点。,Có nhiều ưu điểm.
缺点,quēdiǎn,disadvantage,khuyết điểm,noun,3,缺点是什么？,Khuyết điểm là gì?
想法,xiǎngfǎ,idea,suy nghĩ,noun,3,好想法。,Ý kiến hay.
意见,yìjiàn,opinion,ý kiến,noun,3,你的意见？,Ý kiến của bạn?
建议,jiànyì,suggestion,đề nghị,noun,3,提建议。,Đưa ra đề nghị.
计划,jìhuà,plan,kế hoạch,noun,3,学习计划。,Kế hoạch học tập.
任务,rènwu,task,nhiệm vụ,noun,3,完成任务。,Hoàn thành nhiệm vụ.
问题,wèntí,problem/question,vấn đề,noun,3,有问题吗？,Có vấn đề gì?
答案,dáàn,answer,câu trả lời,noun,3,找到答案。,Tìm câu trả lời.
道理,dàolǐ,principle,lý lẽ,noun,3,有道理。,Có lý.
区别,qūbié,difference,sự khác biệt,noun,3,有什么区别？,Có gì khác biệt?
