simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
你好,nǐhǎo,hello,xin chào,greeting,1,你好吗？,Bạn khỏe không?
我,wǒ,I/me,tôi,pronoun,1,我是学生。,Tôi là học sinh.
你,nǐ,you,bạn,pronoun,1,你好。,Xin chào bạn.
他,tā,he/him,anh ấy,pronoun,1,他是老师。,Anh ấy là giáo viên.
她,tā,she/her,cô ấy,pronoun,1,她是医生。,Cô ấy là bác sĩ.
我们,wǒmen,we/us,chúng tôi,pronoun,1,我们去学校。,Chúng tôi đi học.
你们,nǐmen,you guys,các bạn,pronoun,1,你们好！,Xin chào các bạn！
他们,tāmen,they/them,họ,pronoun,1,他们是朋友。,Họ là bạn bè.
好,hǎo,good,tốt,adjective,1,很好！,Rất tốt！
大,dà,big,lớn,adjective,1,这个苹果很大。,Quả táo này rất to.
小,xiǎo,small,nhỏ,adjective,1,小猫很小。,Mèo con rất nhỏ.
多,duō,many,nhiều,adjective,1,很多学生。,Rất nhiều học sinh.
少,shǎo,few,ít,adjective,1,很少人。,Rất ít người.
长,cháng,long,dài,adjective,1,这条路很长。,Con đường này rất dài.
高,gāo,tall,cao,adjective,1,他很高。,Anh ấy rất cao.
矮,ǎi,short,thấp,adjective,1,她很矮。,Cô ấy rất thấp.
新,xīn,new,mới,adjective,1,新书。,Sách mới.
老,lǎo,old/always,cũ/già,adjective,1,老朋友。,Bạn cũ.
冷,lěng,cold,lạnh,adjective,1,天气很冷。,Thời tiết rất lạnh.
热,rè,hot,nóng,adjective,1,水很热。,Nước rất nóng.
是,shì,to be,là,verb,1,我是中国人。,Tôi là người Trung Quốc.
有,yǒu,to have,có,verb,1,我有一个哥哥。,Tôi có một anh trai.
在,zài,to be at,ở,verb,1,我在家。,Tôi ở nhà.
来,lái,to come,đến,verb,1,他来学校。,Anh ấy đến trường.
去,qù,to go,đi,verb,1,我去超市。,Tôi đi siêu thị.
看,kàn,to see,nhìn/xem,verb,1,我看电视。,Tôi xem TV.
听,tīng,to listen,nghe,verb,1,我听音乐。,Tôi nghe nhạc.
说,shuō,to speak,nói,verb,1,你说中文。,Bạn nói tiếng Trung.
读,dú,to read,đọc,verb,1,我读书。,Tôi đọc sách.
写,xiě,to write,viết,verb,1,我写信。,Tôi viết thư.
