title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Thành phần đứng đầu câu,Fronting for emphasis,6,Object + Subject + Verb,https://www.youtube.com/embed/grammar_hsk6_1,这个问题我们讨论过了,Vấn đề này chúng tôi đã thảo luận,Đưa tân ngữ lên đầu
Cấu trúc 为...所...(bị động),Passive with 为...所,6,Subject + 为 + Agent + 所 + Verb,https://www.youtube.com/embed/grammar_hsk6_2,为大家所熟知,Được mọi người biết đến,Bị động trang trọng
Cấu trúc 愈...愈...,The more...the more (formal),6,愈 + Adj + 愈 + Adj,https://www.youtube.com/embed/grammar_hsk6_3,愈快愈好,Càng nhanh càng tốt,Mức độ tăng dần (trang trọng)
Cấu trúc 固然...但是...,Admittedly...but with 固然,6,固然 + A + 但是 + B,https://www.youtube.com/embed/grammar_hsk6_4,固然困难但是可以克服,Khó khăn thật nhưng có thể vượt qua,Thừa nhận rồi phản bác
Liên từ 乃至 / 甚而,Even/so much that (formal),6,乃至/甚而 + Extreme Case,https://www.youtube.com/embed/grammar_hsk6_5,影响到全国乃至全世界,Ảnh hưởng đến cả nước và cả thế giới,Mở rộng phạm vi
Cấu trúc 之所以...,The reason why (advanced),6,之所以 + Result + 是因为 + Reason,https://www.youtube.com/embed/grammar_hsk6_6,之所以选择这个是因为价格合理,Sở dĩ chọn cái này vì giá hợp lý,Sở dĩ...là vì
Cấu trúc 鉴于...,In view of with 鉴于,6,鉴于 + Fact + 建议/决定,https://www.youtube.com/embed/grammar_hsk6_7,鉴于这种情况我们决定延期,Trước tình hình này chúng tôi quyết định hoãn,Dựa trên thực tế
Cấu trúc 况且...,Moreover (formal) with 况且,6,况且 + Additional Reason,https://www.youtube.com/embed/grammar_hsk6_8,路远况且天气不好,Đường xa hơn nữa thời tiết không tốt,Bổ sung lý do
Cấu trúc 以致...,So that (result) with 以致,6,以致 + Negative Result,https://www.youtube.com/embed/grammar_hsk6_9,准备不足以致失败,Chuẩn bị không đủ dẫn đến thất bại,Chỉ kết quả không mong muốn
Câu vị ngữ chủ vị,S-P predicate sentence,6,Subject + S-P Phrase,https://www.youtube.com/embed/grammar_hsk6_10,他头疼|中国地大物博,Anh ấy đau đầu|Trung Quốc đất rộng của nhiều,Vị ngữ là cụm C-V
