title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Bổ ngữ xu hướng,Complement of direction with 来/去,3,Verb + 来/去/上来/下去,https://www.youtube.com/embed/grammar_hsk3_1,进来|出去|站起来|坐下来,Đi vào|Đi ra|Đứng dậy|Ngồi xuống,Chỉ hướng của hành động
Bổ ngữ kết quả,Complement of result: 完/见/懂,3,Verb + 完/见/懂/到,https://www.youtube.com/embed/grammar_hsk3_2,吃完|看见|听懂|找到,Ăn xong|Nhìn thấy|Nghe hiểu|Tìm thấy,Chỉ kết quả của hành động
Bổ ngữ khả năng (得/不),Potential complement with 得/不,3,Verb + 得/不 + Result,https://www.youtube.com/embed/grammar_hsk3_3,吃得完|听不懂|去不了,Ăn hết được|Nghe không hiểu|Không thể đi,Chỉ khả năng hành động
Cấu trúc 除了...以外...,Except/apart from with 除了,3,除了 + A + 以外 + B,https://www.youtube.com/embed/grammar_hsk3_4,除了你以外还有别人,Ngoài bạn ra còn người khác,Loại trừ hoặc bổ sung
Cấu trúc 越...越...,The more...the more with 越...越...,3,越 + Adj/Verb + 越 + Adj/Verb,https://www.youtube.com/embed/grammar_hsk3_5,越来越好|越来越漂亮, Ngày càng tốt|Ngày càng đẹp,Chỉ mức độ tăng dần
Cấu trúc điều kiện 如果...就...,If...then with 如果...就...,3,如果 + Condition + 就 + Result,https://www.youtube.com/embed/grammar_hsk3_6,如果下雨就不去｜如果你来我就去,Nếu mưa thì không đi|Nếu bạn đến thì tôi đi,Câu điều kiện
Cấu trúc 不但...而且...,Not only...but also with 不但...而且...,3,不但 + A + 而且 + B,https://www.youtube.com/embed/grammar_hsk3_7,不但便宜而且好吃,Không những rẻ mà còn ngon,Kết hợp hai đặc điểm
Cấu trúc 虽然...但是...,Although...but with 虽然...但是...,3,虽然 + A + 但是 + B,https://www.youtube.com/embed/grammar_hsk3_8,虽然累但是很开心,Mặc dù mệt nhưng rất vui,Chỉ sự nhượng bộ
Cấu trúc 为了...,In order to with 为了,3,为了 + Purpose + Action,https://www.youtube.com/embed/grammar_hsk3_9,为了学习中文来到中国,Để học tiếng Trung đến Trung Quốc,Chỉ mục đích
Cấu trúc 把 + Object + Verb + 成,把 construction with 成 (change into),3,把 + Object + Verb + 成,https://www.youtube.com/embed/grammar_hsk3_10,把中文翻译成英文,Dịch tiếng Trung thành tiếng Anh,Chỉ sự chuyển đổi
