simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
宏观,hóngguān,macro,vĩ mô,adjective,7,宏观经济。,Kinh tế vĩ mô.
微观,wēiguān,micro,vi mô,adjective,7,微观经济。,Kinh tế vi mô.
优化,yōuhuà,optimize,tối ưu hóa,verb,7,优化结构。,Tối ưu hóa cấu trúc.
转型,zhuǎnxíng,transformation,chuyển đổi,verb,7,经济转型。,Chuyển đổi kinh tế.
升级,shēngjí,upgrade,nâng cấp,verb,7,产品升级。,Nâng cấp sản phẩm.
兼并,jiānbìng,merger,sáp nhập,verb,7,企业兼并。,Sáp nhập doanh nghiệp.
收购,shōugòu,acquisition,thu mua,verb,7,股权收购。,Thu mua cổ phần.
融资,róngzī,financing,tài trợ,verb,7,融资渠道。,Kênh tài trợ.
上市,shàngshì,listed (company),niêm yết,verb,7,上市公司。,Công ty niêm yết.
筹备,chóubèi,to prepare,chuẩn bị,verb,7,筹备会议。,Chuẩn bị hội nghị.
策划,cèhuà,to plan,lập kế hoạch,verb,7,策划活动。,Lập kế hoạch hoạt động.
实施,shíshī,to implement,thực thi,verb,7,实施方案。,Thực thi phương án.
部署,bùshǔ,to deploy,bố trí,verb,7,战略部署。,Bố trí chiến lược.
贯彻,guànchè,to implement,quán triệt,verb,7,贯彻政策。,Quán triệt chính sách.
落实,luòshí,to implement,thực hiện,verb,7,落实责任。,Thực hiện trách nhiệm.
执行,zhíxíng,to execute,chấp hành,verb,7,严格执行。,Chấp hành nghiêm ngặt.
监督,jiāndū,to supervise,giám sát,verb,7,监督管理。,Quản lý giám sát.
检查,jiǎnchá,to inspect,kiểm tra,verb,7,检查工作。,Kiểm tra công việc.
整改,zhěnggǎi,to rectify,chỉnh sửa,verb,7,整改措施。,Biện pháp chỉnh sửa.
整顿,zhěngdùn,to consolidate,chỉnh đốn,verb,7,整顿秩序。,Chỉnh đốn trật tự.
规范,guīfàn,to standardize,quy phạm,verb,7,规范管理。,Quản lý quy phạm.
准则,zhǔnzé,norm/standard,chuẩn tắc,noun,7,道德准则。,Chuẩn tắc đạo đức.
原则,yuánzé,principle,nguyên tắc,noun,7,基本原则。,Nguyên tắc cơ bản.
立场,lìchǎng,standpoint,lập trường,noun,7,政治立场。,Lập trường chính trị.
观点,guāndiǎn,viewpoint,quan điểm,noun,7,学术观点。,Quan điểm học thuật.
视角,shìjiǎo,perspective,góc nhìn,noun,7,新视角。,Góc nhìn mới.
维度,wéidù,dimension,chiều kích,noun,7,多个维度。,Nhiều chiều kích.
层面,céngmiàn,level/tầng,khía cạnh,noun,7,社会层面。,Khía cạnh xã hội.
导向,dǎoxiàng,orientation,định hướng,noun,7,政策导向。,Định hướng chính sách.
趋势,qūshì,trend,xu thế,noun,7,发展趋势。,Xu thế phát triển.
走向,zǒuxiàng,trend,chiều hướng,noun,7,发展走向。,Chiều hướng phát triển.
动向,dòngxiàng,trend,động hướng,noun,7,市场动向。,Động hướng thị trường.
动态,dòngtài,dynamic,động thái,noun,7,最新动态。,Động thái mới nhất.
现状,xiànzhuàng,status quo,hiện trạng,noun,7,了解现状。,Hiểu hiện trạng.
态势,tàishì,situation,thế trạng,noun,7,发展趋势。,Thế trạng phát triển.
格局,géjú,configuration,cục diện,noun,7,竞争格局。,Cục diện cạnh tranh.
秩序,zhìxù,order,trật tự,noun,7,社会秩序。,Trật tự xã hội.
安定,āndìng,stable,ổn định,adjective,7,安定团结。,Ổn định đoàn kết.
动荡,dòngdàng,turbulent,động đậy,adjective,7,社会动荡。,Xã hội động đậy.
和谐,héxié,harmonious,hài hòa,adjective,7,和谐社会。,Xã hội hài hòa.
繁荣,fánróng,prosperous,phồn vinh,adjective,7,繁荣昌盛。,Phồn vinh thịnh vượng.
衰弱,shuāiruò,weak,hao suy,adjective,7,经济衰弱。,Kinh tế hao suy.
衰退,shuāituì,recession,hao suy,verb,7,经济衰退。,Kinh tế suy thoái.
复苏,fùsū,recovery,hồi phục,verb,7,经济复苏。,Kinh tế hồi phục.
振兴,zhènxīng,revitalize,chấn hưng,verb,7,乡村振兴。,Chấn hưng nông thôn.
崛起,juéqǐ,rise,vươn lên,verb,7,大国崛起。,Cường quốc vươn lên.
复兴,fùxīng,renaissance,phục hưng,verb,7,民族复兴。,Phục hưng dân tộc.
