simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
表达,biǎodá,to express,diễn đạt,verb,4,表达想法。,Diễn đạt ý tưởng.
表现,biǎoxiàn,to perform,thể hiện,verb,4,表现很好。,Thể hiện rất tốt.
体现,tǐxiàn,to embody,thể hiện,verb,4,体现价值。,Thể hiện giá trị.
反应,fǎnyìng,reaction,phản ứng,noun,4,反应很快。,Phản ứng rất nhanh.
态度,tàidu,attitude,thái độ,noun,4,学习态度。,Thái độ học tập.
性格,xìnggé,personality,tính cách,noun,4,性格很好。,Tính cách rất tốt.
品质,pǐnzhì,quality,phẩm chất,noun,4,优秀品质。,Phẩm chất ưu tú.
素质,sùzhì,quality,tố chất,noun,4,身体素质。,Tố chất cơ thể.
道德,dàodé,morality,đạo đức,noun,4,道德标准。,Tiêu chuẩn đạo đức.
传统,chuántǒng,tradition,truyền thống,noun,4,传统文化。,Văn hóa truyền thống.
文化,wénhuà,culture,văn hóa,noun,4,中国文化。,Văn hóa Trung Quốc.
历史,lìshǐ,history,lịch sử,noun,4,学习历史。,Học lịch sử.
经济,jīngjì,economy,kinh tế,noun,4,经济发展。,Phát triển kinh tế.
政治,zhèngzhì,politics,chính trị,noun,4,政治问题。,Vấn đề chính trị.
社会,shèhuì,society,xã hội,noun,4,社会发展。,Phát triển xã hội.
教育,jiàoyù,education,giáo dục,noun,4,教育改革。,Cải cách giáo dục.
科学,kēxué,science,khoa học,noun,4,科学技术。,Khoa học kỹ thuật.
技术,jìshù,technology,kỹ thuật,noun,4,信息技术。,Kỹ thuật thông tin.
研究,yánjiū,research,nghiên cứu,verb,4,科学研究。,Nghiên cứu khoa học.
分析,fēnxī,analysis,phân tích,noun,4,分析问题。,Phân tích vấn đề.
调查,diàochá,investigation,điều tra,noun,4,市场调查。,Điều tra thị trường.
比较,bǐjiào,comparison,so sánh,noun,4,做比较。,So sánh.
联系,liánxì,contact,liên hệ,verb,4,联系我们。,Liên hệ chúng tôi.
交流,jiāoliú,communication,giao lưu,verb,4,文化交流。,Giao lưu văn hóa.
合作,hézuò,cooperation,hợp tác,noun,4,合作愉快！,Hợp tác vui vẻ！
组织,zǔzhī,organization,tổ chức,noun,4,组织活动。,Tổ chức hoạt động.
管理,guǎnlǐ,management,quản lý,verb,4,管理公司。,Quản lý công ty.
服务,fúwù,service,dịch vụ,noun,4,服务质量。,Chất lượng dịch vụ.
支持,zhīchí,support,ủng hộ,verb,4,支持你。,Ủng hộ bạn.
反对,fǎnduì,opposition,phản đối,verb,4,反对意见。,Ý kiến phản đối.
讨论,tǎolùn,discussion,thảo luận,verb,4,讨论问题。,Thảo luận vấn đề.
商量,shāngliang,to discuss,bàn bạc,verb,4,商量一下。,Bàn bạc một chút.
同意,tóngyì,agreement,đồng ý,verb,4,我同意。,Tôi đồng ý.
拒绝,jùjué,to refuse,từ chối,verb,4,拒绝邀请。,Từ chối lời mời.
接受,jiēshòu,to accept,chấp nhận,verb,4,接受建议。,Chấp nhận đề nghị.
承认,chéngrèn,to admit,thừa nhận,verb,4,承认错误。,Thừa nhận sai lầm.
反对,fǎnduì,to oppose,phản đối,verb,4,反对浪费。,Phản đối lãng phí.
允许,yǔnxǔ,to permit,cho phép,verb,4,允许进入。,Cho phép vào.
禁止,jìnzhǐ,to forbid,cấm,verb,4,禁止吸烟。,Cấm hút thuốc.
限制,xiànzhì,to restrict,hạn chế,verb,4,限制时间。,Hạn chế thời gian.
鼓励,gǔlì,to encourage,khuyến khích,verb,4,鼓励学生。,Khuyến khích học sinh.
表扬,biǎoyáng,to praise,khen ngợi,verb,4,表扬学生。,Khen ngợi học sinh.
批评,pīpíng,to criticize,phê bình,verb,4,批评错误。,Phê bình sai lầm.
处罚,chǔfá,to punish,xử phạt,verb,4,处罚违规。,Xử phạt vi phạm.
奖励,jiǎnglì,to reward,khen thưởng,verb,4,奖励优秀。,Khen thưởng xuất sắc.
赔偿,péicháng,to compensate,bồi thường,verb,4,赔偿损失。,Bồi thường thiệt hại.
