simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
什么,shénme,what,cái gì,question,2,你叫什么名字？,Bạn tên là gì?
谁,shéi,who,ai,question,2,他是谁？,Anh ấy là ai?
哪儿,nǎr,where,đâu,question,2,你去哪儿？,Bạn đi đâu?
怎么,zěnme,how,thế nào,question,2,你怎么去？,Bạn đi thế nào?
为什么,wèishénme,why,tại sao,question,2,为什么不来？,Tại sao không đến?
多少,duōshǎo,how many,bao nhiêu,question,2,多少钱？,Bao nhiêu tiền?
怎么样,zěnmeyàng,how about,thế nào,question,2,你怎么样？,Bạn thế nào?
可以,kěyǐ,can/may,có thể,verb,2,可以进来吗？,Có thể vào không?
应该,yīnggāi,should,nên,verb,2,你应该学习。,Bạn nên học.
需要,xūyào,need/cần,cần,verb,2,我需要帮助。,Tôi cần giúp đỡ.
觉得,juéde,to feel,cảm thấy,verb,2,我觉得很好。,Tôi cảm thấy tốt.
希望,xīwàng,to hope,hy vọng,verb,2,希望你成功。,Hy vọng bạn thành công.
准备,zhǔnbèi,to prepare,chuẩn bị,verb,2,准备考试。,Chuẩn bị thi.
开始,kāishǐ,to start,bắt đầu,verb,2,开始上课。,Bắt đầu học.
找到,zhǎodào,to find,tìm thấy,verb,2,找到了！,Tìm thấy rồi！
告诉,gàosu,to tell,nói cho,verb,2,告诉我。,Nói cho tôi.
让,ràng,to let/allow,để/cho phép,verb,2,让我看看。,Để tôi xem.
教,jiāo,to teach,dạy,verb,2,我教你中文。,Tôi dạy bạn tiếng Trung.
学习,xuéxí,to study,học tập,verb,2,学习中文。,Học tiếng Trung.
工作,gōngzuò,to work,làm việc,verb,2,在公司工作。,Làm việc ở công ty.
生活,shēnghuó,to live,sống,verb,2,在中国生活。,Sống ở Trung Quốc.
起床,qǐchuáng,to get up,thức dậy,verb,2,六点起床。,Thức dậy lúc 6 giờ.
睡觉,shuìjiào,to sleep,ngủ,verb,2,早点睡觉。,Ngủ sớm.
洗澡,xǐzǎo,to shower,tắm,verb,2,洗澡。,Tắm rửa.
锻炼,duànliàn,to exercise,tập thể dục,verb,2,每天锻炼。,Tập thể dục hàng ngày.
休息,xiūxi,to rest,nghỉ ngơi,verb,2,休息一下。,Nghỉ ngơi một chút.
旅行,lǚxíng,to travel,du lịch,verb,2,去旅行。,Đi du lịch.
游泳,yóuyǒng,to swim,bơi,verb,2,去游泳。,Đi bơi.
唱歌,chànggē,to sing,hát,verb,2,唱歌很好听。,Hát rất hay.
跳舞,tiàowǔ,to dance,nhảy,verb,2,跳舞。,Nhảy múa.
玩,wán,to play,chơi,verb,2,一起玩。,Chơi cùng nhau.
打,dǎ,to hit/play,đánh/chơi,verb,2,打篮球。,Chơi bóng rổ.
拿,ná,to take,cầm,verb,2,拿书。,Cầm sách.
放,fàng,to put,đặt,verb,2,放在桌子上。,Đặt trên bàn.
用,yòng,to use,dùng,verb,2,用电脑。,Dùng máy tính.
住,zhù,to live,ở,verb,2,住在北京。,Sống ở Bắc Kinh.
开,kāi,to open/mở,mở,verb,2,开门。,Mở cửa.
关,guān,to close,đóng,verb,2,关门。,Đóng cửa.
走,zǒu,to walk,đi bộ,verb,2,走路去。,Đi bộ.
站,zhàn,to stand,đứng,verb,2,站起来！,Đứng dậy！
坐,zuò,to sit,ngồi,verb,2,请坐。,Mời ngồi.
穿,chuān,to wear,mặc,verb,2,穿衣服。,Mặc quần áo.
打扫,dǎsǎo,to clean,dọn dẹp,verb,2,打扫房间。,Dọn dẹp phòng.
洗,xǐ,to wash,giặt/rửa,verb,2,洗手。,Rửa tay.
做饭,zuòfàn,to cook,nấu ăn,verb,2,妈妈做饭。,Mẹ nấu ăn.
送,sòng,to give/send,tặng/tiễn,verb,2,送礼物。,Tặng quà.
换,huàn,to exchange,đổi,verb,2,换衣服。,Thay quần áo.
找,zhǎo,to look for,tìm,verb,2,找东西。,Tìm đồ.
等,děng,to wait,chờ,verb,2,等一下。,Chờ một chút.
笑,xiào,to laugh,cười,verb,2,他笑了。,Anh ấy cười.
哭,kū,to cry,khóc,verb,2,别哭了！,Đừng khóc！
生气,shēngqì,to get angry,tức giận,verb,2,他生气了。,Anh ấy tức giận.
担心,dānxīn,to worry,lo lắng,verb,2,别担心。,Đừng lo lắng.
害怕,hàipà,to be afraid,sợ,verb,2,害怕狗。,Sợ chó.
相信,xiāngxìn,to believe,tin,verb,2,我相信你。,Tôi tin bạn.
忘记,wàngjì,to forget,quên,verb,2,忘记带书。,Quên mang sách.
记得,jìde,to remember,nhớ,verb,2,记得带伞。,Nhớ mang ô.
同意,tóngyì,to agree,đồng ý,verb,2,我同意。,Tôi đồng ý.
决定,juédìng,to decide,quyết định,verb,2,决定了。,Quyết định rồi.
了解,liǎojiě,to understand,hiểu rõ,verb,2,了解情况。,Hiểu tình hình.
注意,zhùyì,to pay attention,chú ý,verb,2,注意安全。,Chú ý an toàn.
关心,guānxīn,to care about,quan tâm,verb,2,关心别人。,Quan tâm người khác.
满意,mǎnyì,to satisfy,hài lòng,verb,2,很满意。,Rất hài lòng.
发现,fāxiàn,to discover,phát hiện,verb,2,发现了问题。,Phát hiện vấn đề.
感到,gǎndào,to feel,cảm thấy,verb,2,感到高兴。,Cảm thấy vui.
表示,biǎoshì,to express,biểu thị,verb,2,表示同意。,Biểu thị đồng ý.
离开,líkāi,to leave,rời khỏi,verb,2,离开家。,Rời khỏi nhà.
回来,huílái,to come back,quay lại,verb,2,回来了。,Quay lại rồi.
回去,huíqù,to go back,trở về,verb,2,回去学校。,Trở về trường.
进来,jìnlái,to come in,vào,verb,2,请进来。,Mời vào.
出去,chūqù,to go out,đi ra,verb,2,出去一下。,Đi ra ngoài một chút.
起来,qǐlái,to get up,đứng dậy,verb,2,站起来！,Đứng dậy！
完成,wánchéng,to complete,hoàn thành,verb,2,完成任务。,Hoàn thành nhiệm vụ.
成功,chénggōng,to succeed,thành công,verb,2,成功了！,Thành công rồi！
努力,nǔlì,to strive,cố gắng,verb,2,努力学习。,Cố gắng học.
进步,jìnbù,to progress,tiến bộ,verb,2,进步很大。,Tiến bộ rất nhiều.
变成,biànchéng,to become,trở thành,verb,2,变成大人。,Trở thành người lớn.
出现,chūxiàn,to appear,xuất hiện,verb,2,出现了问题。,Xuất hiện vấn đề.
增加,zēngjiā,to increase,tăng,verb,2,增加了。,Đã tăng.
减少,jiǎnshǎo,to reduce,giảm,verb,2,减少了。,Đã giảm.
改善,gǎishàn,to improve,cải thiện,verb,2,改善生活。,Cải thiện cuộc sống.
保持,bǎochí,to maintain,giữ,verb,2,保持安静。,Giữ yên lặng.
保护,bǎohù,to protect,bảo vệ,verb,2,保护环境。,Bảo vệ môi trường.
产生,chǎnshēng,to produce,sản sinh,verb,2,产生问题。,Sinh ra vấn đề.
发生,fāshēng,to happen,xảy ra,verb,2,发生了什么？,Đã xảy ra chuyện gì?
改变,gǎibiàn,to change,thay đổi,verb,2,改变计划。,Thay đổi kế hoạch.
发展,fāzhǎn,to develop,phát triển,verb,2,发展经济。,Phát triển kinh tế.
提高,tígāo,to improve,nâng cao,verb,2,提高水平。,Nâng cao trình độ.
加强,jiāqiáng,to strengthen,tăng cường,verb,2,加强管理。,Tăng cường quản lý.
集中,jízhōng,to concentrate,tập trung,verb,2,集中注意力。,Tập trung chú ý.
包括,bāokuò,to include,bao gồm,verb,2,包括你。,Bao gồm bạn.
代表,dàibiǎo,to represent,đại diện,verb,2,代表学校。,Đại diện trường.
继续,jìxù,to continue,tiếp tục,verb,2,继续学习。,Tiếp tục học.
坚持,jiānchí,to persist,kiên trì,verb,2,坚持锻炼。,Kiên trì tập thể dục.
好像,hǎoxiàng,it seems,hình như,adverb,2,好像要下雨。,Hình như sắp mưa.
一直,yìzhí,always,luôn,adverb,2,一直在等。,Luôn đợi.
马上,mǎshàng,immediately,ngay,adverb,2,马上来。,Đến ngay.
刚刚,gānggāng,just now,vừa mới,adverb,2,刚刚走。,Vừa mới đi.
正在,zhèngzài,in progress,đang,adverb,2,正在吃饭。,Đang ăn cơm.
