title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Bổ ngữ khả năng (Potential complement),Potential complement with 得了/不了,4,Verb + 得了/不了,https://www.youtube.com/embed/grammar_hsk4_1,去得了|做不了|来不了,Có thể đi|Không thể làm|Không thể đến,Chỉ khả năng/có thể
Cấu trúc 不仅...而且...,Not only...but also (advanced),4,不仅 + Clause + 而且 + Clause,https://www.youtube.com/embed/grammar_hsk4_2,他不仅聪明而且努力,Không chỉ thông minh mà còn chăm chỉ,Dùng cho mệnh đề
Cấu trúc 无论...都...,No matter...with 无论,4,无论 + Wh-word + 都 + Verb,https://www.youtube.com/embed/grammar_hsk4_3,无论多忙都要学习,Dù bận thế nào cũng phải học,Diễn tả bất kể điều kiện
Cấu trúc 即使...也...,Even if...with 即使,4,即使 + Condition + 也 + Result,https://www.youtube.com/embed/grammar_hsk4_4,即使下雨也要去,Dù mưa cũng phải đi,Câu nhượng bộ
Cấu trúc 既然...就...,Since...then with 既然,4,既然 + Reason + 就 + Conclusion,https://www.youtube.com/embed/grammar_hsk4_5,既然来了就坐坐吧,Đã đến thì ngồi chơi đi,Chỉ suy luận từ nguyên nhân
Cấu trúc 只有...才...,Only if...with 只有,4,只有 + Condition + 才 + Result,https://www.youtube.com/embed/grammar_hsk4_6,只有努力才能成功,Chỉ có cố gắng mới thành công,Điều kiện cần
Cấu trúc 无论...,No matter (advanced),4,无论 + Question + 都/也,https://www.youtube.com/embed/grammar_hsk4_7,无论谁都可以参加,Bất kỳ ai cũng có thể tham gia,Bao hàm toàn thể
Cấu trúc 宁可...也...,Would rather...with 宁可,4,宁可 + A + 也 + 不 + B,https://www.youtube.com/embed/grammar_hsk4_8,宁可走路也不迟到,Thà đi bộ còn hơn muộn,Chọn lựa ưu tiên
Cấu trúc 连...都/也...,Even...with 连,4,连 + Noun + 都/也 + Verb,https://www.youtube.com/embed/grammar_hsk4_9,连老师都不知道,Ngay cả giáo viên cũng không biết,Nhấn mạnh
Cấu trúc nhấn mạnh 是...,Emphatic structure with 是,4,是 + Clause + 的,https://www.youtube.com/embed/grammar_hsk4_10,是你要来的,Chính bạn muốn đến,Nhấn mạnh chủ thể
