title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Cấu trúc 无可非议,It is beyond reproach,8,无可非议 + Statement,https://www.youtube.com/embed/grammar_hsk8_1,他的行为无可非议,Hành vi của anh ấy không thể chê trách,Biện hộ trang trọng
Cấu trúc 名副其实,The name matches reality,8,名副其实 + Noun/Statement,https://www.youtube.com/embed/grammar_hsk8_2,他是名副其实的专家,Anh ấy đúng là chuyên gia,Professed
Cấu trúc 当之无愧,Well-deserved,8,当之无愧 + Qualifier,https://www.youtube.com/embed/grammar_hsk8_3,他当之无愧是第一名,Anh ấy xứng đáng là nhất,Ngợi ca trang trọng
Lối nói giảm nói tránh,Euphemism expressions,8,委婉表达,https://www.youtube.com/embed/grammar_hsk8_4,走了/去世|有喜了/怀孕,Đi rồi/mất|Có tin vui/mang thai,Nói giảm tránh trực tiếp
Cấu trúc 从某种意义上说,In a sense with 从某种意义上说,8,从某种意义上说 + Opinion,https://www.youtube.com/embed/grammar_hsk8_5,从某种意义上说这也是好事,Nói theo nghĩa nào đó đây cũng là việc tốt,Sắc thái trang trọng
Cấu trúc 随着...,Along with with 随着,8,随着 + Change + Main Change,https://www.youtube.com/embed/grammar_hsk8_6,随着经济发展生活改善,Cùng với phát triển kinh tế cuộc sống cải thiện,Quan hệ tương ứng
Cấu trúc 以...为...,Take...as with 以...为...,8,以 + A + 为 + B,https://www.youtube.com/embed/grammar_hsk8_7,以学习为主|以和为贵,Lấy học làm chính|Lấy hòa làm quý,Lấy A làm B
Cấu trúc 与其说是...不如说是...,More than with 与其说是,8,与其说是 + A + 不如说是 + B,https://www.youtube.com/embed/grammar_hsk8_8,与其说是帮助不如说是干扰,Nói là giúp đỡ chi bằng nói là quấy rầy,Phân biệt chính xác
Liên từ 以至于 / 以致于,To the extent that with 以至于,8,以至于 + Result,https://www.youtube.com/embed/grammar_hsk8_9,他太累以至于睡着了,Anh ấy mệt quá đến nỗi ngủ thiếp đi,Tầm mức kết quả
Cấu trúc 不...不... (double negative),Double negative for emphasis,8,不 + A + 不 + B,https://www.youtube.com/embed/grammar_hsk8_10,不得不去|不可不信,Không thể không đi|Không thể không tin,Phủ định kép khẳng định
