title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Cấu trúc 欲...之...,Desire to with classical structure,9,欲 + Verb + 之 + Noun,https://www.youtube.com/embed/grammar_hsk9_1,欲速则不达,Dục tốc bất đạt,Cấu trúc cổ điển
Cấu trúc 唯...是...,Only emphasis (classical),9,唯 + Noun + 是 + Verb,https://www.youtube.com/embed/grammar_hsk9_2,唯利是图|唯才是举,Chỉ thấy lợi|Chỉ cử người tài,Nhấn mạnh tân ngữ
Cấu trúc 之所以...,The reason why (classical),9,之所以 + Result + 是因为 + Reason,https://www.youtube.com/embed/grammar_hsk9_3,之所以能成功是因为坚持不懈,Sở dĩ thành công là vì kiên trì,Nhấn mạnh nguyên nhân
Cấu trúc 莫不...,There is none who does not,9,莫不 + Verb + Object,https://www.youtube.com/embed/grammar_hsk9_4,莫不欢欣鼓舞,Không ai là không vui mừng,Phủ định kép cổ điển
Cấu trúc 未尝...,Never/not necessarily,9,未尝 + Negative Expression,https://www.youtube.com/embed/grammar_hsk9_5,未尝不可|未尝没有好处,Chưa chắc không được|Chưa chắc không có lợi,Phủ định cổ điển
Cấu trúc 以...而...,Because of with classical,9,以 + A + 而 + B,https://www.youtube.com/embed/grammar_hsk9_6,以勤奋而闻名,Nổi tiếng vì cần cù,Chỉ nguyên nhân
Cấu trúc 因...而...,Due to...with classical,9,因 + A + 而 + B,https://www.youtube.com/embed/grammar_hsk9_7,因困难而放弃,Bởi khó khăn mà từ bỏ,Nhân quả cổ điển
Cấu trúc 为...所 (classical passive),Passive in classical Chinese,9,为 + Agent + 所 + Verb,https://www.youtube.com/embed/grammar_hsk9_8,为世人所知,Được người đời biết đến,Bị động cổ điển
Cấu trúc 之所以...,The reason (classical formal),9,之所以 + Result + 是在于 + Reason,https://www.youtube.com/embed/grammar_hsk9_9,问题之所以复杂是在于多因素,Vấn đề phức tạp là vì nhiều yếu tố,Nhấn mạnh nguyên nhân trang trọng
Cấu trúc 与其...不如...,Rather than...better to (classical),9,与其 + A + 不如 + B,https://www.youtube.com/embed/grammar_hsk9_10,与其临渊羡鱼不如退而结网,Thà về dệt lưới còn hơn đứng ngắm cá,Lựa chọn cổ điển
