title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Trợ từ động thái 了,了 indicates completed action or change,2,Subject + Verb + 了,https://www.youtube.com/embed/grammar_hsk2_1,我吃了|他来了|她走了,Tôi đã ăn|Anh ấy đã đến|Cô ấy đã đi,Chỉ hành động đã hoàn thành
Câu có 吗 và 呢,Question particles 吗 and 呢,2,Sentence + 吗/呢？,https://www.youtube.com/embed/grammar_hsk2_2,你吃饭了吗？|我的书呢？,Bạn ăn cơm chưa?|Sách của tôi đâu?,吗 cho yes-no, 呢 cho follow-up
Cấu trúc 是...的,Emphasize time/place/manner with 是...的,2,是 + Time/Place + Verb + 的,https://www.youtube.com/embed/grammar_hsk2_3,我是昨天来的|他是坐飞机来的,Tôi đến hôm qua|Anh ấy đến bằng máy bay,Nhấn mạnh thời gian/cách thức
Động từ năng nguyện 会/可以/应该,Modal verbs: can/may/should,2,会/可以/应该 + Verb,https://www.youtube.com/embed/grammar_hsk2_4,我会说中文|我可以进来|你应该学习,Tôi biết nói tiếng Trung|Tôi có thể vào|Bạn nên học,Đặt trước động từ chính
Cấu trúc so sánh với 比,Comparative with 比,2,A + 比 + B + Adjective,https://www.youtube.com/embed/grammar_hsk2_5,他比我高|这个比那个好,Anh ấy cao hơn tôi|Cái này tốt hơn cái kia,So sánh hơn
Cấu trúc 正在 + Verb,Progressive action with 正在/在,2,Subject + 正在/在 + Verb,https://www.youtube.com/embed/grammar_hsk2_6,我正在吃饭|他在看书,Tôi đang ăn cơm|Anh ấy đang đọc sách,Chỉ hành động đang diễn ra
Cấu trúc 要...了,About to happen with 要...了,2,Subject + 要 + Verb + 了,https://www.youtube.com/embed/grammar_hsk2_7,要下雨了|要上课了,Sắp mưa rồi|Sắp vào học rồi,Chỉ sắp xảy ra
Cấu trúc 从...到...,From...to... with 从...到...,2,从 + Place/Time + 到 + Place/Time,https://www.youtube.com/embed/grammar_hsk2_8,从家到学校|从八点到十点,Từ nhà đến trường|Từ 8 giờ đến 10 giờ,Chỉ phạm vi không gian/thời gian
Câu chữ 把,把 sentence (disposal construction),2,Subject + 把 + Object + Verb + Complement,https://www.youtube.com/embed/grammar_hsk2_9,把门打开|把衣服洗干净,Mở cửa ra|Giặt quần áo sạch,Nhấn mạnh tác động lên tân ngữ
Câu bị động với 被,Passive voice with 被,2,Subject + 被 + (Agent) + Verb,https://www.youtube.com/embed/grammar_hsk2_10,被打|被老师批评,Bị đánh|Bị giáo viên phê bình,Chỉ hành động bị động
