simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
文明,wénmíng,civilization,văn minh,noun,8,中华文明。,Văn minh Trung Hoa.
起源,qǐyuán,origin,khởi nguyên,noun,8,文明起源。,Khởi nguyên văn minh.
传承,chuánchéng,inheritance,truyền thừa,verb,8,文化传承。,Truyền thừa văn hóa.
弘扬,hóngyáng,to promote,phát huy,verb,8,弘扬文化。,Phát huy văn hóa.
倡导,chàngdǎo,to advocate,xướng đạo,verb,8,倡导和平。,Xướng đạo hòa bình.
推崇,tuīchóng,to praise,tôn sùng,verb,8,推崇备至。,Tôn sùng hết mực.
崇尚,chóngshàng,to advocate,sùng thượng,verb,8,崇尚科学。,Sùng thượng khoa học.
信仰,xìnyǎng,belief,tín ngưỡng,noun,8,宗教信仰。,Tín ngưỡng tôn giáo.
崇拜,chóngbài,worship,sùng bái,verb,8,英雄崇拜。,Sùng bái anh hùng.
敬畏,jìngwèi,awe,kính sợ,verb,8,敬畏自然。,Kính sợ tự nhiên.
尊严,zūnyán,dignity,tôn nghiêm,noun,8,人格尊严。,Tôn nghiêm nhân cách.
人格,réngé,personality,nhân cách,noun,8,人格魅力。,Sức hút nhân cách.
修养,xiūyǎng,cultivation,tu dưỡng,noun,8,道德修养。,Tu dưỡng đạo đức.
素质,sùzhì,quality,tố chất,noun,8,综合素质。,Tố chất tổng hợp.
内涵,nèihán,connotation,nội hàm,noun,8,文化内涵。,Nội hàm văn hóa.
外延,wàiyán,denotation,ngoại diên,noun,8,概念外延。,Ngoại diên khái niệm.
精髓,jīngsuǐ,essence,tinh tủy,noun,8,文化精髓。,Tinh tủy văn hóa.
灵魂,línghún,soul,linh hồn,noun,8,民族灵魂。,Linh hồn dân tộc.
气质,qìzhì,temperament,khí chất,noun,8,艺术气质。,Khí chất nghệ thuật.
魅力,mèilì,charm,sức hút,noun,8,艺术魅力。,Sức hút nghệ thuật.
意境,yìjìng,artistic conception,ý cảnh,noun,8,诗词意境。,Ý cảnh thơ từ.
韵味,yùnwèi,charm,dư vị,noun,8,古典韵味。,Dư vị cổ điển.
含蓄,hánxù,implicit,ngầm chứa,adjective,8,含蓄的表达。,Biểu đạt ngầm chứa.
婉约,wǎnyuē,graceful,uyển ước,adjective,8,婉约风格。,Phong cách uyển ước.
豪放,háofàng,bold and unconstrained,hào phóng,adjective,8,豪放派。,Phái hào phóng.
磅礴,pángbó,majestic,bảng bạc,adjective,8,气势磅礴。,Khí thế bảng bạc.
浩荡,hàodàng,vast and mighty,hào đãng,adjective,8,浩荡长江。,Trường giang hào đãng.
深邃,shēnsuì,deep,sâu thẳm,adjective,8,思想深邃。,Tư tưởng sâu thẳm.
渊博,yuānbó,erudite,uên bác,adjective,8,学识渊博。,Học rộng uên bác.
博学,bóxué,learned,bác học,adjective,8,博学多才。,Bác học đa tài.
睿智,ruìzhì,wise and farseeing,duệ trí,adjective,8,睿智的决策。,Quyết sách duệ trí.
英明,yīngmíng,wise and brilliant,anh minh,adjective,8,英明决策。,Quyết sách anh minh.
贤明,xiánmíng,wise and able,hiền minh,adjective,8,贤明领导。,Lãnh đạo hiền minh.
仁慈,réncí,benevolent,nhân từ,adjective,8,仁慈之心。,Lòng nhân từ.
慈悲,cíbēi,compassion,từ bi,noun,8,慈悲为怀。,Lấy từ bi làm gốc.
宽容,kuānróng,tolerant,khoan dung,adjective,8,宽容大度。,Khoan dung độ lượng.
包容,bāoróng,inclusive,bao dung,adjective,8,包容并蓄。,Bao dung tích trữ.
开放,kāifàng,open,mở cửa,adjective,8,开放包容。,Mở cửa bao dung.
多元,duōyuán,diverse,đa nguyên,adjective,8,多元文化。,Văn hóa đa nguyên.
包容,bāoróng,tolerant,bao dung,adjective,8,包容的态度。,Thái độ bao dung.
共识,gòngshí,consensus,cộng thức,noun,8,形成共识。,Hình thành cộng thức.
认同,rèntóng,identification,nhận đồng,verb,8,文化认同。,Nhận đồng văn hóa.
归属,guīshǔ,belonging,quy thuộc,noun,8,归属感。,Cảm giác quy thuộc.
凝聚,níngjù,cohesion,ngưng tụ,verb,8,凝聚力。,Lực ngưng tụ.
向心力,xiàngxīnlì,centripetal force,lực hướng tâm,noun,8,民族向心力。,Lực hướng tâm dân tộc.
辐射,fúshè,radiation,bức xạ,verb,8,辐射效应。,Hiệu ứng bức xạ.
渗透,shèntòu,penetration,thẩm thấu,verb,8,市场渗透。,Thẩm thấu thị trường.
涵盖,hángài,to cover,bao hàm,verb,8,涵盖范围。,Bao hàm phạm vi.
触及,chùjí,to touch,chạm đến,verb,8,触及问题。,Chạm đến vấn đề.
